date,ward,flooded
2023-09-02,9,0
2023-09-02,12,0
2023-09-02,13,0
2023-09-02,15,0
2023-09-02,17,0
2023-09-02,18,0
2023-09-02,19,0
2023-09-02,31,0
2023-09-02,32,0
2023-09-02,33,0
2023-09-02,68,1
2023-09-02,93,1
2024-05-26,2,0
2024-05-26,3,0
2024-05-26,7,0
2024-05-26,8,0
2024-05-26,18,0
2024-05-26,19,0
2024-05-26,23,0
2024-05-26,30,0
2024-05-26,33,0
2024-05-26,38,0
2024-05-26,65,1
2024-05-26,68,1
2024-05-26,74,1
2024-05-26,81,1
2024-05-26,93,1
2024-05-26,96,1
2024-05-26,99,1
2024-05-26,130,1
2024-07-08,5,0
2024-07-08,8,0
2024-07-08,11,0
2024-07-08,12,1
2024-07-08,14,0
2024-07-08,20,0
2024-07-08,23,0
2024-07-08,27,0
2024-07-08,29,0
2024-07-08,30,0
2024-07-08,33,0
2024-07-08,63,1
2024-07-08,65,1
2024-07-08,66,1
2024-07-08,67,1
2024-07-08,68,1
2024-07-08,73,1
2024-07-08,84,1
2024-07-08,87,1
2024-07-08,88,1
2024-07-08,90,1
2024-07-08,91,1
2024-07-08,93,1
2024-07-08,96,1
2024-07-08,99,1
2024-07-08,100,1
2024-07-08,107,1
2024-07-08,110,1
2024-07-08,111,1
2024-07-08,130,1
2024-09-23,2,0
2024-09-23,6,0
2024-09-23,8,0
2024-09-23,12,1
2024-09-23,16,0
2024-09-23,18,0
2024-09-23,23,0
2024-09-23,32,0
2024-09-23,37,0
2024-09-23,38,0
2024-09-23,39,0
2024-09-23,46,1
2024-09-23,63,1
2024-09-23,65,1
2024-09-23,66,1
2024-09-23,67,1
2024-09-23,68,1
2024-09-23,73,1
2024-09-23,81,1
2024-09-23,84,1
2024-09-23,87,1
2024-09-23,88,1
2024-09-23,91,1
2024-09-23,93,1
2024-09-23,96,1
2024-09-23,99,1
2024-09-23,100,1
2024-09-23,107,1
2024-09-23,110,1
2024-09-23,111,1
2024-09-23,130,1
2024-10-25,5,0
2024-10-25,6,0
2024-10-25,9,0
2024-10-25,11,0
2024-10-25,13,0
2024-10-25,18,0
2024-10-25,24,0
2024-10-25,31,0
2024-10-25,32,0
2024-10-25,37,0
2024-10-25,46,1
2024-10-25,66,1
2024-10-25,73,1
2024-10-25,130,1
2025-07-08,1,0
2025-07-08,3,0
2025-07-08,5,0
2025-07-08,10,0
2025-07-08,12,1
2025-07-08,14,0
2025-07-08,19,0
2025-07-08,25,0
2025-07-08,26,0
2025-07-08,37,0
2025-07-08,39,0
2025-07-08,63,1
2025-07-08,65,1
2025-07-08,66,1
2025-07-08,67,1
2025-07-08,68,1
2025-07-08,90,1
2025-07-08,91,1
2025-07-08,93,1
2025-07-08,96,1
2025-07-08,99,1
2025-07-08,100,1
2025-07-08,107,1
2025-07-08,110,1
2025-07-08,111,1
2025-07-08,130,1
2025-09-23,9,0
2025-09-23,12,1
2025-09-23,13,0
2025-09-23,17,0
2025-09-23,19,0
2025-09-23,23,0
2025-09-23,26,0
2025-09-23,27,0
2025-09-23,30,0
2025-09-23,32,0
2025-09-23,34,0
2025-09-23,63,1
2025-09-23,65,1
2025-09-23,66,1
2025-09-23,67,1
2025-09-23,68,1
2025-09-23,73,1
2025-09-23,74,1
2025-09-23,84,1
2025-09-23,87,1
2025-09-23,88,1
2025-09-23,90,1
2025-09-23,91,1
2025-09-23,93,1
2025-09-23,96,1
2025-09-23,99,1
2025-09-23,107,1
2025-09-23,111,1
2025-09-23,130,1
2025-10-10,5,0
2025-10-10,9,0
2025-10-10,12,0
2025-10-10,13,0
2025-10-10,18,0
2025-10-10,19,0
2025-10-10,21,0
2025-10-10,28,0
2025-10-10,30,0
2025-10-10,37,0
2025-10-10,63,1
2025-10-10,65,1
2025-10-10,66,1
2025-10-10,67,1
2025-10-10,68,1
2025-10-10,73,1
2025-10-10,74,1
2025-10-10,84,1
2025-10-10,87,1
2025-10-10,88,1
2025-10-10,91,1
2025-10-10,93,1
2025-10-10,107,1
2025-10-10,130,1
