month,month_name,mean,std,min,max
1,Jan,23.01402541542975,30.568038341875138,0.0020000000949949026,88.84376987158977
2,Feb,50.260435990069894,73.37259549245994,0.19499897276128,213.34135331586958
3,Mar,58.83008458483887,45.08647882005018,0.1089979528900853,132.53914511154628
4,Apr,96.8244174962411,91.14879219565313,6.24018483995679,253.18339040556424
5,May,313.7590335695707,145.43167087082878,146.97464630905927,518.1040676368328
6,Jun,418.11312749813703,167.18561988654528,201.52567723257837,741.7806254230736
7,Jul,722.086492124344,373.18851717477037,282.60180434593565,1435.3600777304828
8,Aug,714.2218177539064,193.61258873284862,430.72914818438545,1052.6616323305416
9,Sep,518.8923078164682,223.36634196570014,242.8760986187436,1024.3242098413568
10,Oct,305.2712910891497,163.7000480171242,100.97027483817897,543.5257056494127
11,Nov,55.05433426655968,75.04258701609818,1.7519018047075938,237.34789631798566
12,Dec,30.62529866140461,47.56157524526791,0.00547034752598996,155.72217942236261
